attack_id,category,instance,n,m,budget_pct,budget,attacker,k,mu_thresh,d_ari_q,d_nmi_q,d_ari_cpm,d_nmi_cpm
LFR__n200_s1__b51__SA-CPM__k5,LFR,n200_s1,200,1033,0.05,51,SA-CPM,5,,-0.028300670202945466,-0.08303859183508344,0.3988369084353115,0.30647438334045607
LFR__n200_s1__b51__muMEA__k10__mu10,LFR,n200_s1,200,1033,0.05,51,muMEA,10,10,0.08337864106927406,0.045912344282812156,0.11630774248686832,0.0918933582273293
LFR__n200_s1__b51__muMEA__k10__mu15,LFR,n200_s1,200,1033,0.05,51,muMEA,10,15,0.046626764622219985,0.028364400637963805,0.19508789045111047,0.16407893219222702
LFR__n200_s1__b51__muMEA__k10__mu20,LFR,n200_s1,200,1033,0.05,51,muMEA,10,20,-0.0374560196556285,-0.012275843690313315,0.3019659784605182,0.21977906344990833
LFR__n200_s1__b51__muMEA-best__k10,LFR,n200_s1,200,1033,0.05,51,muMEA-best,10,,0.08337864106927406,0.045912344282812156,0.3019659784605182,0.21977906344990833
LFR__n200_s1__b51__SA-Q__k10,LFR,n200_s1,200,1033,0.05,51,SA-Q,10,,0.28663808197002894,0.1847055514640527,0.2678927657132528,0.22572196244513387
LFR__n200_s1__b51__SA-CPM__k10,LFR,n200_s1,200,1033,0.05,51,SA-CPM,10,,0.10059349351776031,0.023114386081562466,0.40721343144117533,0.31925851805436645
LFR__n200_s1__b103__muMEA__k5__mu10,LFR,n200_s1,200,1033,0.1,103,muMEA,5,10,0.12404238612289525,0.032550022639292964,0.16024802600101928,0.12783364550298598
LFR__n200_s1__b103__muMEA__k5__mu15,LFR,n200_s1,200,1033,0.1,103,muMEA,5,15,-0.03941049332243862,-0.028795638037349525,0.27098950168316016,0.22413546840086823
LFR__n200_s1__b103__muMEA__k5__mu20,LFR,n200_s1,200,1033,0.1,103,muMEA,5,20,-0.022411310117864125,-0.030907041461895046,0.0954165707185084,0.08301565916716097
LFR__n200_s1__b103__muMEA-best__k5,LFR,n200_s1,200,1033,0.1,103,muMEA-best,5,,0.12404238612289525,0.032550022639292964,0.27098950168316016,0.22413546840086823
LFR__n200_s1__b103__SA-Q__k5,LFR,n200_s1,200,1033,0.1,103,SA-Q,5,,0.2918909554888357,0.1979950216028677,0.08101431759016203,0.08457687194872893
LFR__n200_s1__b103__SA-CPM__k5,LFR,n200_s1,200,1033,0.1,103,SA-CPM,5,,0.1667345641536519,0.08642037118242757,0.42569772037141235,0.35032919007653385
LFR__n200_s1__b103__muMEA__k10__mu10,LFR,n200_s1,200,1033,0.1,103,muMEA,10,10,0.17652483499317717,0.10433081275297451,0.23173660679280356,0.15688386066129595
LFR__n200_s1__b103__muMEA__k10__mu15,LFR,n200_s1,200,1033,0.1,103,muMEA,10,15,0.1489887101551996,0.10710189752728616,0.21109579335523768,0.19922128626572455
LFR__n200_s1__b103__muMEA__k10__mu20,LFR,n200_s1,200,1033,0.1,103,muMEA,10,20,0.0006162929652132054,-0.020081880489880244,0.15908214861655462,0.12790526768800153
LFR__n200_s1__b103__muMEA-best__k10,LFR,n200_s1,200,1033,0.1,103,muMEA-best,10,,0.17652483499317717,0.10710189752728616,0.23173660679280356,0.19922128626572455
LFR__n200_s1__b103__SA-Q__k10,LFR,n200_s1,200,1033,0.1,103,SA-Q,10,,0.3287183944866926,0.2701552895674866,0.35256000714576685,0.272887921542188
LFR__n200_s1__b103__SA-CPM__k10,LFR,n200_s1,200,1033,0.1,103,SA-CPM,10,,0.1097257268109596,0.059655293657523256,0.4293512091988706,0.35976766326403437
EC-SBM__new_zealand_collab__b130__muMEA__k5__mu10,EC-SBM,new_zealand_collab,541,2608,0.05,130,muMEA,5,10,-0.030652448464196402,-0.02755780367827232,0.1040244607777521,0.04482041875305465
EC-SBM__new_zealand_collab__b130__muMEA__k5__mu15,EC-SBM,new_zealand_collab,541,2608,0.05,130,muMEA,5,15,-0.04644345426273236,-0.04969641957131499,0.07478745042376639,0.026498784288293664
EC-SBM__new_zealand_collab__b130__muMEA__k5__mu20,EC-SBM,new_zealand_collab,541,2608,0.05,130,muMEA,5,20,-0.00724819817955441,0.0004987917712073742,0.00444389897831865,0.0016289357504524205
EC-SBM__new_zealand_collab__b130__muMEA-best__k5,EC-SBM,new_zealand_collab,541,2608,0.05,130,muMEA-best,5,,-0.00724819817955441,0.0004987917712073742,0.1040244607777521,0.04482041875305465
EC-SBM__new_zealand_collab__b130__SA-Q__k5,EC-SBM,new_zealand_collab,541,2608,0.05,130,SA-Q,5,,0.023144703353840085,0.02245547943133208,0.04988577831178154,0.05781479608235074
EC-SBM__new_zealand_collab__b130__SA-CPM__k5,EC-SBM,new_zealand_collab,541,2608,0.05,130,SA-CPM,5,,-0.037328139623115986,-0.035218763920839,0.10686016178520766,0.07162013145361301
EC-SBM__new_zealand_collab__b130__muMEA__k10__mu10,EC-SBM,new_zealand_collab,541,2608,0.05,130,muMEA,10,10,-0.011982658190951234,-0.019614817434648102,0.03727776341343192,0.035422728263110104
EC-SBM__new_zealand_collab__b130__muMEA__k10__mu15,EC-SBM,new_zealand_collab,541,2608,0.05,130,muMEA,10,15,-0.006926151368618377,-0.0015906776941734257,0.05572129998965197,0.034019126303148184
EC-SBM__new_zealand_collab__b130__muMEA__k10__mu20,EC-SBM,new_zealand_collab,541,2608,0.05,130,muMEA,10,20,0.011115250763043871,0.015990789253122695,0.04222716284231115,0.01520144548150093
EC-SBM__new_zealand_collab__b130__muMEA-best__k10,EC-SBM,new_zealand_collab,541,2608,0.05,130,muMEA-best,10,,0.011115250763043871,0.015990789253122695,0.05572129998965197,0.035422728263110104
EC-SBM__new_zealand_collab__b130__SA-Q__k10,EC-SBM,new_zealand_collab,541,2608,0.05,130,SA-Q,10,,0.029767563499542127,0.032056588555661736,0.06364276162654936,0.05576685538894266
EC-SBM__new_zealand_collab__b130__SA-CPM__k10,EC-SBM,new_zealand_collab,541,2608,0.05,130,SA-CPM,10,,-0.05370068655429669,-0.05110439051326632,0.1405323159995337,0.08404709292564905
EC-SBM__new_zealand_collab__b260__muMEA__k5__mu10,EC-SBM,new_zealand_collab,541,2608,0.1,260,muMEA,5,10,-0.05679654652808777,-0.05682449147425239,0.09881275490704416,0.05074336754127162
EC-SBM__new_zealand_collab__b260__muMEA__k5__mu15,EC-SBM,new_zealand_collab,541,2608,0.1,260,muMEA,5,15,-0.04644345426273236,-0.04969641957131499,0.07478745042376639,0.026498784288293664
EC-SBM__new_zealand_collab__b260__muMEA__k5__mu20,EC-SBM,new_zealand_collab,541,2608,0.1,260,muMEA,5,20,-0.00724819817955441,0.0004987917712073742,0.00444389897831865,0.0016289357504524205
EC-SBM__new_zealand_collab__b260__muMEA-best__k5,EC-SBM,new_zealand_collab,541,2608,0.1,260,muMEA-best,5,,-0.00724819817955441,0.0004987917712073742,0.09881275490704416,0.05074336754127162
