518	0
218	0
117	0
657	0
283	0
1360	0
1	1
789	1
1052	1
1118	2
297	2
440	2
1161	2
482	2
489	2
411	2
102	2
939	2
2	3
108	3
41	3
5	4
1185	4
7	5
390	5
1072	5
210	5
355	5
8	6
1421	6
792	6
169	6
10	7
896	7
18	8
303	8
20	9
514	9
24	10
1325	10
1346	10
1008	10
1324	10
661	10
133	10
654	10
841	10
1228	10
1178	10
480	10
239	10
44	10
944	10
741	10
254	10
377	10
255	10
521	10
193	10
316	10
310	10
642	10
1481	10
1237	11
69	11
1498	11
627	11
1495	11
26	12
802	12
27	13
1195	13
1004	13
1220	13
486	13
1041	13
494	13
762	13
677	13
30	14
1484	14
454	14
81	14
696	14
585	14
532	14
1190	14
36	15
134	15
42	16
1086	16
766	17
1066	17
406	18
234	18
447	18
273	18
1435	18
182	18
1084	18
442	19
1266	19
592	20
839	20
240	21
461	21
1354	22
712	22
1134	23
510	23
282	23
534	23
345	23
1148	23
572	23
1173	23
724	24
1401	24
126	24
720	24
184	25
211	25
187	26
1404	26
48	27
359	27
1429	28
945	28
1263	29
72	29
397	29
1193	29
1375	29
1182	30
942	30
1181	31
384	31
1141	32
1270	32
107	33
1398	33
61	34
831	34
66	35
973	35
438	35
1114	35
67	36
1267	36
75	37
771	37
79	38
269	38
80	39
217	39
84	40
293	40
353	40
301	40
1369	40
502	40
85	41
954	41
1326	41
95	42
818	42
96	43
320	43
1282	44
1265	44
471	44
313	45
1473	45
103	46
1465	46
498	46
619	46
144	46
110	47
567	47
814	48
874	48
755	49
1016	49
404	49
1043	49
727	49
414	50
204	50
428	51
1236	51
564	51
1175	52
633	52
1179	53
1254	53
128	54
1430	54
1186	55
250	55
1210	56
798	56
1212	57
1197	57
834	58
312	58
477	59
206	59
850	60
1020	60
484	61
229	61
871	62
1472	62
1078	62
119	63
1306	63
351	63
882	63
691	63
1439	63
548	63
1364	63
975	64
370	64
541	65
608	65
434	65
929	66
1403	66
734	67
368	67
198	68
728	68
1264	68
252	69
1361	69
1339	70
1067	70
685	70
1340	71
928	71
380	71
1293	72
327	72
667	73
679	73
990	74
1407	74
253	75
858	75
1395	76
531	76
1009	76
705	77
632	77
354	78
1023	78
388	79
972	79
121	80
698	80
664	80
131	81
1055	81
1368	81
140	82
1372	82
163	83
966	83
167	84
1149	84
168	85
1019	85
175	86
628	86
913	86
246	86
179	87
1290	87
188	88
903	88
191	89
1215	89
203	90
556	90
439	90
205	91
754	91
1153	92
730	92
760	92
810	93
1230	93
893	94
1489	94
745	94
927	95
635	95
959	96
1096	96
794	96
983	97
1005	97
1033	98
714	98
968	99
1095	99
704	100
304	100
1131	100
219	101
926	101
233	102
1320	102
251	103
1081	103
259	104
1154	104
263	105
1456	105
288	106
467	106
294	107
819	107
735	108
422	108
363	109
970	109
381	110
708	110
393	111
446	111
441	112
717	112
1151	112
1509	112
445	113
751	113
1347	114
640	114
989	115
1457	115
512	116
765	116
1317	117
1109	117
864	118
1408	118
528	119
916	119
617	120
1278	120
1273	121
670	121
1234	121
920	122
1252	122
666	123
917	123
1269	123
672	124
1242	124
676	125
1319	125
756	126
1371	126
767	127
1504	127
768	128
872	128
787	129
930	129
854	130
1001	130
1038	131
1160	131
1077	132
1453	132
1128	133
1396	133
1172	134
1187	134
1239	135
1415	135
978	136
352	136
914	136
1288	136
49	136
197	136
733	136
919	136
349	136
443	136
674	136
43	136
1277	136
265	136
905	136
481	136
860	136
12	137
940	137
1025	137
932	137
995	137
173	137
50	137
529	137
1503	137
109	137
258	137
571	137
181	137
543	137
783	137
278	137
769	138
492	138
912	138
1034	138
431	138
862	138
980	138
565	138
524	138
402	139
1402	139
1414	139
596	139
668	139
1209	139
584	139
537	139
1353	139
436	140
15	140
641	140
1155	140
659	140
57	140
558	140
866	140
1091	140
634	140
93	140
1391	140
336	140
1251	140
343	140
761	140
1106	140
470	141
28	141
876	141
580	141
1177	141
779	141
1000	141
33	141
120	141
533	141
967	141
86	141
186	141
780	141
1276	141
243	141
56	141
216	141
711	141
1345	141
97	141
1331	141
276	141
433	141
647	141
391	141
1463	141
600	141
236	141
609	141
1169	141
969	141
840	141
901	141
1297	141
938	141
589	141
856	141
261	141
1382	141
1028	141
1063	141
1003	141
731	141
743	141
369	141
208	141
1015	141
1436	141
395	141
569	141
577	141
965	141
1379	141
337	141
1116	141
1018	141
586	142
778	142
227	142
1348	142
464	142
699	142
429	142
520	142
52	142
62	142
1300	142
550	142
1119	142
302	142
1207	142
981	142
1304	142
122	142
867	142
437	142
361	142
491	142
1494	142
1483	143
1271	143
1468	143
1397	143
715	143
1298	143
1305	144
1037	144
427	144
861	144
1283	144
308	144
1362	144
826	144
1496	144
1279	145
295	145
176	145
737	145
1099	145
1428	146
430	146
462	146
1505	146
105	146
1314	146
1132	146
401	146
423	146
1120	146
582	146
488	146
827	147
702	147
272	147
1423	147
3	148
1308	148
587	148
833	148
623	148
581	148
811	148
267	148
1387	148
1510	148
875	148
155	148
909	148
1448	148
474	148
689	148
38	149
836	149
1165	149
1196	149
