ari_before,ari_after,nmi_before,nmi_after,mu_lfr,seed,budget,evaluator
1.0,1.0,1.0,1.0,0.2,0,0.01,Q
1.0,0.9706978660165119,1.0,0.9788657844875779,0.2,0,0.01,CPM_0.05
0.6840629742166323,0.6820484735594926,0.8324043260354269,0.8031386506382299,0.2,0,0.01,CPM_0.1
1.0,0.9803138985557462,1.0,0.9783111016657701,0.2,0,0.03,Q
1.0,0.8891203919529519,1.0,0.9093788123154067,0.2,0,0.03,CPM_0.05
0.6840629742166323,0.6698800835668857,0.8324043260354269,0.7867730439452594,0.2,0,0.03,CPM_0.1
1.0,0.909940856154012,1.0,0.9240608069751989,0.2,0,0.05,Q
1.0,0.909940856154012,1.0,0.9240608069751989,0.2,0,0.05,CPM_0.05
0.6840629742166323,0.651616691622564,0.8324043260354269,0.7930082967982031,0.2,0,0.05,CPM_0.1
0.9739056934590268,0.9602241685930255,0.9769501097330134,0.9607435820202598,0.2,1,0.01,Q
0.9443823530616496,0.9354583421872171,0.9455567222583987,0.9411219804463595,0.2,1,0.01,CPM_0.05
0.7225364874151894,0.7120020196061078,0.8239678499302338,0.8207470158106849,0.2,1,0.01,CPM_0.1
0.9739056934590268,0.941130249847888,0.9769501097330134,0.9391945718301836,0.2,1,0.03,Q
0.9443823530616496,0.94119261235388,0.9455567222583987,0.9437192173131509,0.2,1,0.03,CPM_0.05
0.7225364874151894,0.7346215069493386,0.8239678499302338,0.8178499760488004,0.2,1,0.03,CPM_0.1
0.9739056934590268,0.8956785647840998,0.9769501097330134,0.9049734851467526,0.2,1,0.05,Q
0.9443823530616496,0.8648557353032742,0.9455567222583987,0.8771549365388651,0.2,1,0.05,CPM_0.05
0.7225364874151894,0.6292482037992294,0.8239678499302338,0.7569336505959563,0.2,1,0.05,CPM_0.1
0.9499224142600572,0.9499224142600572,0.9458298512009894,0.9458298512009894,0.2,2,0.01,Q
0.9086059102985024,0.9057930409119952,0.9126529421395855,0.9145755803672782,0.2,2,0.01,CPM_0.05
0.4692590803412747,0.4597453267716159,0.6801589492462816,0.6757253046186295,0.2,2,0.01,CPM_0.1
0.9499224142600572,0.8765477527948903,0.9458298512009894,0.8610324960111118,0.2,2,0.03,Q
0.9086059102985024,0.8282775213646553,0.9126529421395855,0.828522506192187,0.2,2,0.03,CPM_0.05
0.4692590803412747,0.42382597898201374,0.6801589492462816,0.635583198286509,0.2,2,0.03,CPM_0.1
